Date,Region_ko,Natural_growth,Net_migration,Natural_growth_change,Net_migration_change,Natural_growth_z,Net_migration_z,Signal_score
2022-03-01,대구광역시,-1355.0,368.0,-1056.0,3245.0,-5.28385130230118,2.8355407602257467,8.119392062526927
2022-03-01,충청북도,-947.0,1188.0,-668.0,1389.0,-5.043686328401236,2.2898238362751626,7.333510164676399
2022-03-01,인천광역시,-1049.0,2360.0,-1026.0,2536.0,-4.673847950574439,1.7502094995958355,6.424057450170275
2022-03-01,강원특별자치도,-1060.0,830.0,-649.0,891.0,-5.270374865916141,1.125718102875968,6.396092968792109
2022-04-01,충청남도,-1198.0,1381.0,-890.0,201.0,-5.083824291721849,0.0945917141229563,5.178416005844806
2020-03-01,대구광역시,-424.0,984.0,-469.0,3409.0,-2.0178014338123997,2.9766748695272622,4.9944763033396615
2022-04-01,전라남도,-1425.0,656.0,-702.0,424.0,-4.072587326365115,0.18880018857814582,4.2613875149432605
2003-06-01,전라남도,-38.0,1821.0,-119.0,6335.0,-0.2823747901203284,3.8458113781535253,4.128186168273854
2022-04-01,강원특별자치도,-926.0,958.0,-463.0,418.0,-3.60526798620909,0.46665446872354177,4.071922454932632
2022-02-01,서울특별시,-1059.0,3265.0,-1109.0,12680.0,-1.1093545117759631,2.9437188053888574,4.05307331716482
