Date,Region,Median_price_per_m2,Transaction_count,Base_rate,Price_prev_year,Transaction_prev_year,Base_rate_prev_year,Price_yoy_pct,Transaction_yoy_pct,Base_rate_change,Price_yoy_mean,Price_yoy_std,Price_z,Transaction_yoy_mean,Transaction_yoy_std,Transaction_z,Signal_score
2023-02-01,대전광역시,416.6885294940065,2048,3.5,261.90476190476187,53.0,0.5,59.099256715893425,3764.1509433962265,3.0,7.323530018362116,9.584270893898935,5.402156019034292,59.895953661694605,440.70202116951833,8.4053505811122,8.402156019034292
2023-02-01,광주광역시,344.54081026494,2098,3.5,247.0372225004173,81.0,0.5,39.469188803868605,2490.1234567901233,3.0,5.665174628999759,7.285705044182147,4.639772536751589,34.83501435128789,291.2465477270297,8.430274836219004,7.639772536751589
2023-02-01,부산광역시,493.618321054406,4336,3.5,303.4694703027418,138.0,0.5,62.65831306258627,3042.0289855072465,3.0,6.162389499061688,12.780943372786309,4.420325003850493,47.9016937753492,360.8211234840712,8.298093146046302,7.420325003850493
2023-02-01,경상남도,303.7180428542821,3385,3.5,216.7821213492533,254.0,0.5,40.10290192011181,1232.6771653543308,3.0,1.9722025850668226,9.757148346845739,3.907975771155695,26.258893816962765,159.67417569937498,7.555500231977026,6.907975771155694
2023-02-01,전라북도,217.7495291902072,2618,3.5,167.18240778778502,196.0,0.5,30.246676113559843,1235.7142857142858,3.0,2.944998880558041,7.156271334011023,3.815070161362854,31.487146014328335,155.77516709307147,7.730546287781955,6.815070161362854
2023-02-01,경기도,587.8499806849292,17518,3.5,341.7805935311771,425.0,0.5,71.9963016657661,4021.8823529411766,3.0,8.477846146485831,16.822667295803996,3.7757660186933255,72.97957288828115,463.6258349722392,8.51743471174195,6.775766018693325
2023-02-01,충청북도,256.8301818824652,3058,3.5,180.0156452389079,178.0,0.5,42.6710336991059,1617.9775280898878,3.0,2.1474028769296423,10.974442065927267,3.692545878755093,43.49041830696333,197.27080666283547,7.981348768314979,6.692545878755093
2023-01-01,울산광역시,380.3460659484166,1170,3.5,264.1664296978001,981.0,0.5,43.979712480319,19.266055045871553,3.0,3.3601651659279,12.000757821640141,3.384748523226147,70.60217975142334,411.81537745020097,-0.1246581053466359,6.384748523226147
2023-02-01,충청남도,247.15688778095117,3808,3.5,193.24122479462287,238.0,0.5,27.90070444007482,1500.0,3.0,1.05675484258541,8.05880825939984,3.3310073565999634,43.54495149951564,190.33637060124084,7.652005992862981,6.331007356599963
2023-02-01,경상북도,225.00011842111496,3786,3.5,165.23818199889132,302.0,0.5,36.16714714437164,1153.6423841059604,3.0,1.5812548956954877,11.346305551647559,3.048207373866646,33.05177670376862,145.98816592725504,7.675900305238268,6.048207373866646
