Date,Region_ko,signal_type,signal_name,Natural_growth_prev,Natural_growth,Natural_growth_change,Net_migration_prev,Net_migration,Net_migration_change,Natural_growth_z,Net_migration_z,Natural_growth_change_z,Net_migration_change_z,Signal_score,reason,rank_in_type,severity
2001-04-01,경기도,migration_surge,순이동 급증,8436.0,7464.0,-972.0,14659.0,22445.0,7786.0,0.6490953541674015,3.394153970538973,-0.2812064916423608,2.3728173685784695,2.373,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,107,MEDIUM
2016-06-01,부산광역시,migration_drop,순이동 급감,553.0,302.0,-251.0,1168.0,-2113.0,-3281.0,-0.35090178498401076,-0.5347904754008566,0.07207122331317693,-2.366814128965745,2.367,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,123,MEDIUM
2021-10-01,인천광역시,migration_surge,순이동 급증,-123.0,-180.0,-57.0,-270.0,3294.0,3564.0,0.37305912385116197,1.0872171425952368,0.37606476940164985,2.364101581719437,2.364,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,108,MEDIUM
2015-05-01,서울특별시,migration_drop,순이동 급감,3311.0,3386.0,75.0,-7587.0,-11676.0,-4089.0,0.5708265367945123,-3.309368663529111,0.7871926617813395,-2.3536788233243238,2.354,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,124,MEDIUM
2007-05-01,인천광역시,migration_reverse,순이동 방향 반전,1019.0,1152.0,133.0,-293.0,1655.0,1948.0,-0.23808492130402745,0.5137452244351497,-0.23023405890534882,1.838763444623595,2.353,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,45,MEDIUM
2018-01-01,서울특별시,migration_drop,순이동 급감,2489.0,1050.0,-1439.0,-2518.0,-7155.0,-4637.0,1.2197745839308127,-1.7244853865485474,-0.27644113901679906,-2.348849639330612,2.349,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,125,MEDIUM
2006-11-01,서울특별시,migration_drop,순이동 급감,4105.0,4445.0,340.0,-7014.0,-8434.0,-1420.0,0.6306571644989571,-1.8590126294925757,0.5188456655649792,-2.345529570402591,2.346,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,126,MEDIUM
2015-10-01,경기도,migration_surge,순이동 급증,5159.0,4993.0,-166.0,2288.0,9392.0,7104.0,1.0567219091798785,2.072556280068036,-1.7012310672329707,2.342741503983517,2.343,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,109,MEDIUM
2001-01-01,부산광역시,migration_surge,순이동 급증,1877.0,1767.0,-110.0,-3291.0,-1424.0,1867.0,-0.28658723933166363,-0.3495211337223053,0.1377635441073174,2.341834133395389,2.342,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,110,MEDIUM
2014-06-01,경기도,migration_surge,순이동 급증,4592.0,5144.0,552.0,6169.0,8760.0,2591.0,1.1075220738542295,2.910817914812287,2.2136347926687825,2.3414997208096873,2.341,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,111,MEDIUM
2003-06-01,전라남도,migration_reverse,순이동 방향 반전,81.0,-38.0,-119.0,-4514.0,1821.0,6335.0,-0.49071770051777325,0.4087969866296729,-0.21439779240420667,1.930696966851097,2.339,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,46,MEDIUM
2003-04-01,서울특별시,migration_surge,순이동 급증,5575.0,5462.0,-113.0,-14169.0,-7347.0,6822.0,0.49835106462282813,-1.3051207616485294,-1.1999855996532791,2.3362689690971674,2.336,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,112,MEDIUM
2008-04-01,충청남도,migration_drop,순이동 급감,404.0,501.0,97.0,1896.0,88.0,-1808.0,-0.3697717948241338,0.026412479262334875,0.788204163022541,-2.3294893046853384,2.329,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,127,MEDIUM
2019-06-01,서울특별시,migration_surge,순이동 급증,1178.0,859.0,-319.0,-8522.0,-6105.0,2417.0,1.2438682478260172,-1.845102333231292,-0.007955000742574967,2.3265661692893866,2.327,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,113,MEDIUM
2013-11-01,경상남도,migration_reverse,순이동 방향 반전,936.0,639.0,-297.0,-366.0,1132.0,1498.0,-0.2160571396997233,0.3748710756946676,0.25080045428524705,1.9488157109441295,2.324,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,47,MEDIUM
2020-08-01,대구광역시,migration_reverse,순이동 방향 반전,-26.0,-307.0,-281.0,-1925.0,371.0,2296.0,0.01722581570657775,0.07835064827245718,0.14050119234281308,2.240943658158853,2.319,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,48,MEDIUM
2009-03-01,인천광역시,migration_drop,순이동 급감,1316.0,1256.0,-60.0,2452.0,-681.0,-3133.0,-0.20816714999862795,-0.30244744557951153,-0.4984769836317954,-2.3146502534736833,2.315,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,128,MEDIUM
2010-07-01,경기도,migration_surge,순이동 급증,5672.0,5783.0,111.0,6042.0,9894.0,3852.0,0.9502599234745891,3.0504110645556226,1.5875240853874617,2.312424122442649,2.312,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,114,MEDIUM
2009-01-01,경기도,migration_drop,순이동 급감,8135.0,7109.0,-1026.0,7105.0,3709.0,-3396.0,0.8797372197786552,2.561387508880982,-0.7201078837238023,-2.310785286372878,2.311,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,129,MEDIUM
2006-12-01,서울특별시,migration_drop,순이동 급감,3404.0,4042.0,638.0,-7612.0,-9737.0,-2125.0,0.7485051380036201,-1.5858161540164109,0.8045684439071902,-2.310762754429362,2.311,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,130,MEDIUM
2011-12-01,경기도,migration_drop,순이동 급감,5117.0,4454.0,-663.0,13190.0,11183.0,-2007.0,1.0897210335938325,2.5304515095648648,-1.7574918688267784,-2.3066651425572906,2.307,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,131,MEDIUM
2017-08-01,경기도,migration_drop,순이동 급감,4437.0,3355.0,-1082.0,15118.0,10764.0,-4354.0,1.3784019679035566,2.983833255921436,-0.688255930077675,-2.3041202046140175,2.304,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,132,MEDIUM
2008-01-01,충청남도,migration_reverse,순이동 방향 반전,503.0,743.0,240.0,-547.0,1625.0,2172.0,-0.3604500750242607,0.6651867962055111,-0.23738218329807625,1.624470286695139,2.29,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,49,MEDIUM
2014-02-01,서울특별시,migration_surge,순이동 급증,3581.0,3248.0,-333.0,-4723.0,-2832.0,1891.0,0.5311303068516017,-1.548325008846398,-0.6794953862006875,2.2832423038629077,2.283,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,115,MEDIUM
2022-02-01,서울특별시,migration_surge,순이동 급증,50.0,-1059.0,-1109.0,-9415.0,3265.0,12680.0,-0.05677836394609788,1.9040006590662122,-0.3177115980790752,2.2818139347649,2.282,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,116,MEDIUM
2005-08-01,인천광역시,migration_surge,순이동 급증,1092.0,1074.0,-18.0,-704.0,1973.0,2677.0,-0.21474525696869384,0.5525766824904701,0.4535465880928162,2.281450497195385,2.281,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,117,MEDIUM
2013-01-01,대구광역시,migration_reverse,순이동 방향 반전,839.0,811.0,-28.0,577.0,-1324.0,-1901.0,-0.2998755231465752,-0.5505798941288519,0.2385608584165915,-1.726489563065543,2.277,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,50,MEDIUM
2007-03-01,경기도,migration_drop,순이동 급감,6726.0,7522.0,796.0,14256.0,11194.0,-3062.0,0.8741205079145721,3.4780961119672287,0.6991851226701026,-2.273406844703343,2.273,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,133,MEDIUM
2020-07-01,경기도,migration_drop,순이동 급감,2312.0,1627.0,-685.0,14121.0,11290.0,-2831.0,3.155494119787548,3.4867755204625586,-0.5072221969563973,-2.271958032772279,2.272,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,134,MEDIUM
2013-06-01,경상남도,migration_surge,순이동 급증,1088.0,731.0,-357.0,742.0,1884.0,1142.0,-0.22508117246579948,0.6722969908456325,0.17367182758783406,2.2717987279594154,2.272,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,118,MEDIUM
2015-09-01,서울특별시,migration_drop,순이동 급감,4084.0,3295.0,-789.0,-6126.0,-12886.0,-6760.0,0.449740614468733,-3.1989540023214893,-1.4375402395654604,-2.2692115635709458,2.269,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,135,MEDIUM
2017-11-01,경기도,migration_surge,순이동 급증,3263.0,2258.0,-1005.0,11874.0,13699.0,1825.0,2.1846648052438664,2.7070792953441076,-0.5188993423718858,2.2680453884575225,2.268,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,119,MEDIUM
2006-06-01,경상남도,migration_drop,순이동 급감,694.0,832.0,138.0,3732.0,135.0,-3597.0,-0.27031075327513276,0.03872869213795903,-0.14417070417108546,-2.2636240904187215,2.264,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,136,MEDIUM
2013-07-01,경기도,migration_surge,순이동 급증,6301.0,5261.0,-1040.0,6388.0,8319.0,1931.0,0.9451860803543534,2.7141362684688732,-0.6279730188740458,2.263278647610207,2.263,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,120,MEDIUM
2021-03-01,경상북도,migration_surge,순이동 급증,-797.0,-849.0,-52.0,-4717.0,1439.0,6156.0,-0.7259713609533023,0.3450676003535566,0.23458073781246064,2.2616916936496936,2.262,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,121,MEDIUM
2008-03-01,경상북도,migration_reverse,순이동 방향 반전,506.0,358.0,-148.0,-1215.0,1224.0,2439.0,-0.399852933596664,0.4533393615742861,0.3458473933285801,1.8030395645647934,2.256,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,51,MEDIUM
2012-06-01,경기도,migration_surge,순이동 급증,5618.0,5955.0,337.0,3441.0,6118.0,2677.0,0.9310508345431799,2.416758127606055,0.3274858489115733,2.253547519836736,2.254,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,122,MEDIUM
2005-04-01,서울특별시,migration_drop,순이동 급감,5334.0,4163.0,-1171.0,-3097.0,-5491.0,-2394.0,0.6090924443876191,-1.330918037121426,-0.6964420147912426,-2.251889349914587,2.252,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,137,MEDIUM
2008-02-01,충청남도,migration_reverse,순이동 방향 반전,537.0,534.0,-3.0,-100.0,1561.0,1661.0,-0.3585994355463635,0.6748356906647826,0.5009712909574894,1.5738823478842756,2.249,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,52,MEDIUM
2008-11-01,인천광역시,migration_reverse,순이동 방향 반전,1286.0,1051.0,-235.0,1542.0,-757.0,-2299.0,-0.20354218377946118,-0.28050682116304526,0.29871304214676475,-1.9644759455156935,2.245,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,53,MEDIUM
2014-08-01,세종특별자치시,migration_surge,순이동 급증,36.0,58.0,22.0,526.0,2561.0,2035.0,-0.4486070429703729,1.2454403442112578,-0.18493375106651344,2.2428925800149613,2.243,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,123,MEDIUM
2020-08-01,대구광역시,migration_surge,순이동 급증,-26.0,-307.0,-281.0,-1925.0,371.0,2296.0,0.01722581570657775,0.07835064827245718,0.14050119234281308,2.240943658158853,2.241,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,124,MEDIUM
2008-11-01,서울특별시,migration_surge,순이동 급증,5212.0,3979.0,-1233.0,-7998.0,-5379.0,2619.0,0.5612736794202414,-1.9931917979339768,-0.5081593464954913,2.2379132237083956,2.238,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,125,MEDIUM
2014-01-01,경기도,migration_drop,순이동 급감,6692.0,5916.0,-776.0,8070.0,6246.0,-1824.0,0.9245929144016477,3.0784065025061107,-0.8654771769979321,-2.2370657679181836,2.237,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,138,MEDIUM
2017-06-01,경기도,migration_drop,순이동 급감,4210.0,3119.0,-1091.0,10215.0,6047.0,-4168.0,1.3457577948673622,2.4472979649416597,-0.5472342714059268,-2.234773199091362,2.235,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,139,MEDIUM
2007-05-01,서울특별시,migration_drop,순이동 급감,4591.0,4787.0,196.0,-4097.0,-6465.0,-2368.0,0.527790024660698,-2.0068657860865518,-0.10345736117392024,-2.235211415230325,2.235,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,140,MEDIUM
2018-05-01,서울특별시,migration_drop,순이동 급감,1793.0,1359.0,-434.0,-6590.0,-11298.0,-4708.0,0.8092465774052997,-2.5336426712857847,-0.24390747332075619,-2.2281962234280313,2.228,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,141,MEDIUM
