player_name,temp_group,games,AB,H,RBI,season_avg,avg_diff_mean,weather_avg,weather_diff,sample_weight,signal_score,signal_strength
강경학,보통,27,76,19,7,0.23893805309734514,0.007975527149568425,0.25,0.011061946902654857,8.717797887081348,0.09643581733497057,0.09643581733497057
강경학,더움,18,37,8,5,0.23893805309734514,0.011061946902654846,0.21621621621621623,-0.022721836881128915,6.082762530298219,-0.13821153800007913,0.13821153800007913
강로한,보통,53,173,39,15,0.23958333333333334,-0.02448899371069184,0.2254335260115607,-0.01414980732177265,13.152946437965905,-0.18611165781081346,0.18611165781081346
강로한,더움,32,98,24,7,0.23958333333333334,-0.007812500000000024,0.24489795918367346,0.005314625850340121,9.899494936611665,0.052612111695427496,0.052612111695427496
강민호,추움,15,50,12,7,0.2310126582278481,-0.021012658227848115,0.24,0.00898734177215188,7.0710678118654755,0.06355010311929718,0.06355010311929718
강민호,보통,65,200,45,27,0.2310126582278481,-0.02280753002271991,0.225,-0.0060126582278481056,14.142135623730951,-0.0850318281173697,0.0850318281173697
강민호,더움,23,66,16,4,0.2310126582278481,-0.020867730691616234,0.24242424242424243,0.01141158419639432,8.12403840463596,0.09270814826924426,0.09270814826924426
강백호,추움,22,86,22,11,0.3283582089552239,-0.07154002713704208,0.2558139534883721,-0.07254425546685178,9.273618495495704,-0.672747749239362,0.672747749239362
강백호,보통,70,255,89,38,0.3283582089552239,0.020213219616204686,0.34901960784313724,0.02066139888791335,15.968719422671311,0.3299360817209814,0.3299360817209814
강백호,더움,16,61,21,11,0.3283582089552239,0.015391791044776108,0.3442622950819672,0.015904086126743322,7.810249675906654,0.12421488351698855,0.12421488351698855
고종욱,추움,21,82,25,13,0.3278008298755187,-0.02156500221111958,0.3048780487804878,-0.022922781095030875,9.055385138137417,-0.20757461125271995,0.20757461125271995
고종욱,보통,72,278,91,33,0.3278008298755187,-0.009282311357000155,0.3273381294964029,-0.0004627003791157769,16.673332000533065,-0.007714757037769864,0.007714757037769864
고종욱,더움,32,122,42,9,0.3278008298755187,0.030532503457814664,0.3442622950819672,0.016461465206448533,11.045361017187261,0.18182282607709108,0.18182282607709108
구자욱,추움,16,64,15,10,0.2636363636363636,-0.03655303030303028,0.234375,-0.029261363636363613,8.0,-0.2340909090909089,0.2340909090909089
구자욱,보통,81,316,87,41,0.2636363636363636,0.011260755705200172,0.27531645569620256,0.011680092059838942,17.776388834631177,0.20762985807998524,0.20762985807998524
구자욱,더움,17,60,14,16,0.2636363636363636,-0.04206773618538323,0.23333333333333334,-0.030303030303030276,7.745966692414834,-0.23472626340650993,0.23472626340650993
권희동,추움,17,62,16,15,0.25316455696202533,-0.010027302060064554,0.25806451612903225,0.004899959167006918,7.874007874011811,0.038582317063348824,0.038582317063348824
권희동,보통,70,218,51,15,0.25316455696202533,-0.02173598553345391,0.23394495412844038,-0.019219602833584953,14.7648230602334,-0.2837740351258423,0.2837740351258423
권희동,더움,17,36,13,6,0.25316455696202533,0.11448250186150408,0.3611111111111111,0.10794655414908577,6.0,0.6476793248945146,0.6476793248945146
김강민,추움,25,98,26,10,0.2603092783505155,0.013690721649484518,0.2653061224489796,0.004996844098464126,9.899494936611665,0.0494662328517835,0.0494662328517835
김강민,보통,56,209,52,24,0.2603092783505155,-0.02013070692194405,0.24880382775119617,-0.011505450599319317,14.45683229480096,-0.16633236979047658,0.16633236979047658
김강민,더움,23,81,23,9,0.2603092783505155,0.0020095622291946592,0.2839506172839506,0.02364133893343512,9.0,0.21277205040091607,0.21277205040091607
김규민,추움,13,36,7,8,0.24651162790697675,-0.05420393559928446,0.19444444444444445,-0.05206718346253231,6.0,-0.31240310077519384,0.31240310077519384
김규민,보통,42,133,40,15,0.24651162790697675,0.05864710225175339,0.3007518796992481,0.05424025179227135,11.532562594670797,0.6255290989450742,0.6255290989450742
