player_name,rain_group,games,AB,H,season_avg,weather_avg,weather_diff,sample_weight,signal_score,signal_strength
강경학,비,16,41,8,0.23893805309734514,0.1951219512195122,-0.04381610187783294,6.4031242374328485,-0.28055994392377903,0.28055994392377903
강경학,비없음,29,72,19,0.23893805309734514,0.2638888888888889,0.024950835791543752,8.48528137423857,0.21171486221367125,0.21171486221367125
강로한,비,25,65,13,0.23958333333333334,0.2,-0.03958333333333333,8.06225774829855,-0.3191310358701509,0.3191310358701509
강로한,비없음,67,223,56,0.23958333333333334,0.25112107623318386,0.011537742899850517,14.933184523068078,0.17229524370318636,0.17229524370318636
강민호,비,29,90,24,0.2310126582278481,0.26666666666666666,0.03565400843881855,9.486832980505138,0.33824362314459233,0.33824362314459233
강민호,비없음,74,226,49,0.2310126582278481,0.2168141592920354,-0.014198498935812709,15.033296378372908,-0.21345024263008477,0.21345024263008477
강백호,비,23,88,32,0.3283582089552239,0.36363636363636365,0.03527815468113976,9.38083151964686,0.33093842538781326,0.33093842538781326
강백호,비없음,85,314,100,0.3283582089552239,0.3184713375796178,-0.009886871375606066,17.72004514666935,-0.17519580713505237,0.17519580713505237
고종욱,비,30,121,41,0.3278008298755187,0.33884297520661155,0.011042145331092879,11.0,0.12146359864202166,0.12146359864202166
고종욱,비없음,95,361,117,0.3278008298755187,0.32409972299168976,-0.0037011068838289085,19.0,-0.07032103079274926,0.07032103079274926
구자욱,비,25,96,26,0.2636363636363636,0.2708333333333333,0.007196969696969702,9.797958971132712,0.07051561380739456,0.07051561380739456
구자욱,비없음,89,344,90,0.2636363636363636,0.2616279069767442,-0.0020084566596194064,18.547236990991408,-0.037251321652096096,0.037251321652096096
권희동,비,23,66,12,0.25316455696202533,0.18181818181818182,-0.07134637514384351,8.12403840463596,-0.5796206917001492,0.5796206917001492
권희동,비없음,81,250,68,0.25316455696202533,0.272,0.018835443037974686,15.811388300841896,0.2978145036918069,0.2978145036918069
김강민,비,25,96,27,0.2603092783505155,0.28125,0.020940721649484517,9.797958971132712,0.20517633154755982,0.20517633154755982
김강민,비없음,79,292,74,0.2603092783505155,0.2534246575342466,-0.006884620816268894,17.08800749063506,-0.11764445207858493,0.11764445207858493
김규민,비,30,85,21,0.24651162790697675,0.24705882352941178,0.0005471956224350205,9.219544457292887,0.005044894367875725,0.005044894367875725
김규민,비없음,43,130,32,0.24651162790697675,0.24615384615384617,-0.00035778175313058713,11.40175425099138,-0.00407933962468382,0.00407933962468382
김동엽,비,18,62,14,0.22857142857142856,0.22580645161290322,-0.0027649769585253448,7.874007874011811,-0.021771450342889794,0.021771450342889794
김동엽,비없음,35,113,26,0.22857142857142856,0.23008849557522124,0.0015170670037926715,10.63014581273465,0.016126643458004568,0.016126643458004568
김민성,비,33,118,32,0.26038781163434904,0.2711864406779661,0.010798629043617058,10.862780491200215,0.11730313690671142,0.11730313690671142
김민성,비없음,74,243,62,0.26038781163434904,0.2551440329218107,-0.005243778712538338,15.588457268119896,-0.08174242038388065,0.08174242038388065
김민하,비,13,32,9,0.23529411764705882,0.28125,0.04595588235294118,5.656854249492381,0.2599657283774072,0.2599657283774072
김민하,비없음,31,70,15,0.23529411764705882,0.21428571428571427,-0.021008403361344546,8.366600265340756,-0.17576891313741091,0.17576891313741091
김민혁,비,32,126,37,0.2803532008830022,0.29365079365079366,0.013297592767791466,11.224972160321824,0.14926510861775605,0.14926510861775605
