gameinfo,year,id,team,inning1,inning2,inning3,inning4,inning5,inning6,inning7,inning8,inning9,inning10,inning11,inning12,H,AB,AVG,R,RBI,game_date,player_name,team_2019,opponent,team_H,team_HR,team_RBI,team_RUN,team_OBP,team_win,home_team,region,temperature,rainfall,wind_speed,humidity,pressure,ground_temp
20190402KTOB0,2019,75334,OB,7003,0,2000,7301,0,0,7006,0,0,0,0,0,0,4,0,0,0,2019-04-02,오재일,두산,KT,10.0,1.0,9.0,9.0,0.375,1.0,OB,서울,6.5249999999999995,0.0,2.2583333333333333,37.375,1012.0541666666667,9.945833333333333
20190402KTOB0,2019,79240,OB,1019,0,7101,0,7006,0,7104,0,0,0,0,0,1,4,0,0,1,2019-04-02,허경민,두산,KT,10.0,1.0,9.0,9.0,0.375,1.0,OB,서울,6.5249999999999995,0.0,2.2583333333333333,37.375,1012.0541666666667,9.945833333333333
20190402KTOB0,2019,74206,OB,7205,0,0,1019,7101,0,7006,0,0,0,0,0,1,4,0,1,0,2019-04-02,김재호,두산,KT,10.0,1.0,9.0,9.0,0.375,1.0,OB,서울,6.5249999999999995,0.0,2.2583333333333333,37.375,1012.0541666666667,9.945833333333333
20190402KTOB0,2019,62234,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-04-02,류지혁,두산,KT,10.0,1.0,9.0,9.0,0.375,1.0,OB,서울,6.5249999999999995,0.0,2.2583333333333333,37.375,1012.0541666666667,9.945833333333333
20190402KTOB0,2019,62244,OB,0,1019,0,6000,7003,0,0,0,0,0,0,0,1,3,0,2,0,2019-04-02,박세혁,두산,KT,10.0,1.0,9.0,9.0,0.375,1.0,OB,서울,6.5249999999999995,0.0,2.2583333333333333,37.375,1012.0541666666667,9.945833333333333
20190402KTOB0,2019,63202,OB,0,0,0,0,0,0,0,7102,0,0,0,0,0,1,0,0,0,2019-04-02,장승현,두산,KT,10.0,1.0,9.0,9.0,0.375,1.0,OB,서울,6.5249999999999995,0.0,2.2583333333333333,37.375,1012.0541666666667,9.945833333333333
20190402KTOB0,2019,77248,OB,0,7006,0,3000,0,1301,0,7005,0,0,0,0,1,3,0,2,1,2019-04-02,오재원,두산,KT,10.0,1.0,9.0,9.0,0.375,1.0,OB,서울,6.5249999999999995,0.0,2.2583333333333333,37.375,1012.0541666666667,9.945833333333333
20190402KTOB0,2019,61104,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019-04-02,정병곤,두산,KT,10.0,1.0,9.0,9.0,0.375,1.0,OB,서울,6.5249999999999995,0.0,2.2583333333333333,37.375,1012.0541666666667,9.945833333333333
20190402LTSK0,2019,76249,LT,1018,0,7102,0,7006,7104,0,0,1116,0,0,0,2,5,0,1,0,2019-04-02,민병헌,롯데,SK,10.0,1.0,5.0,5.0,0.380952381,1.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,77532,LT,7001,0,7006,0,1017,0,3000,0,7101,0,0,0,1,4,0,0,0,2019-04-02,손아섭,롯데,SK,10.0,1.0,5.0,5.0,0.380952381,1.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,78513,LT,2000,0,0,1302,3000,0,7003,0,2000,0,0,0,1,4,0,1,1,2019-04-02,전준우,롯데,SK,10.0,1.0,5.0,5.0,0.380952381,1.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,71564,LT,7304,0,0,3100,7104,0,7006,0,1018,0,0,0,1,4,0,1,1,2019-04-02,이대호,롯데,SK,10.0,1.0,5.0,5.0,0.380952381,1.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,60523,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019-04-02,정훈,롯데,SK,10.0,1.0,5.0,5.0,0.380952381,1.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,77463,LT,0,2000,0,7301,0,7102,7101,0,1117,0,0,0,1,5,0,0,1,2019-04-02,채태인,롯데,SK,10.0,1.0,5.0,5.0,0.380952381,1.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,64504,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-04-02,오윤석,롯데,SK,10.0,1.0,5.0,5.0,0.380952381,1.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,68525,LT,0,7006,0,1011,0,1017,0,7107,2000,0,0,0,2,5,0,0,0,2019-04-02,한동희,롯데,SK,10.0,1.0,5.0,5.0,0.380952381,1.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,69530,LT,0,7101,0,3100,0,7100,0,3000,0,0,0,0,0,2,0,1,0,2019-04-02,아수아헤,롯데,SK,10.0,1.0,5.0,5.0,0.380952381,1.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,62558,LT,0,0,2000,3000,0,6002,0,2000,0,0,0,0,0,3,0,0,1,2019-04-02,김준태,롯데,SK,10.0,1.0,5.0,5.0,0.380952381,1.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
